Name,API pool id,Protocol,Protocol TVL ($m),Chain,Comparable Pool?,Pool TVL ($m),1Y Avg. TVL ($m),TVL % Change M/M,TVL % Change Q/Q,TVL % Change (7d),APY % Change (7d),APY % Change (30d),Current APY (%),30d avg. APY (%),Base APY (%),Reward APY (%),1Y Avg. APY (%),ETH TVL % Change (7d),ETH TVL % Change M/M,ETH TVL % Change Q/Q
DOLA-USDC,1cd84e8d-4c06-4bf8-a2b0-c378b5cd8c5f,Aerodrome,$123m,Base,Yes,$8m,$4m,449.75%,,1.27%,(7.54%),(7.45%),38.37%,58.26%,0.00%,38.37%,49.47%,6.32%,38.76%,71.33%
USDC-MAI,89cdbafa-936d-40ef-bff4-b72ecf900f22,Aerodrome,$123m,Base,Yes,$3m,$3m,11.86%,,0.21%,(9.88%),(6.30%),32.16%,47.83%,0.00%,32.16%,43.41%,6.32%,38.76%,71.33%
DOLA-MAI,dbfb8ca2-fcc5-4ae5-ab39-74de383cc8d9,Aerodrome,$123m,Base,Yes,$0m,$1m,(94.44%),,(3.26%),(3.20%),(50.65%),21.73%,48.44%,0.00%,21.73%,47.92%,6.32%,38.76%,71.33%
USDC-USDBC,5cbd300d-9553-478a-bc26-66b7fa375d19,Aerodrome,$123m,Base,Yes,$3m,$4m,17.06%,,(9.00%),(0.77%),(25.29%),8.84%,10.54%,0.00%,8.84%,11.13%,6.32%,38.76%,71.33%
USD+-USDBC,a77fd302-3f54-41ef-af13-f3c921dd4345,Aerodrome,$123m,Base,Yes,$1m,$1m,2426.65%,,(35.54%),45.27%,(60.67%),16.77%,24.92%,0.00%,16.77%,20.96%,6.32%,38.76%,71.33%
EUSD-USDBC,e4e952f8-d8f8-48d1-a09f-6fa59ecdc2bc,Aerodrome,$123m,Base,No,$0m,$0m,(66.80%),,(13.25%),4.09%,(28.53%),20.55%,33.37%,0.00%,20.55%,30.53%,6.32%,38.76%,71.33%
HYUSD,8449ce9a-fc8d-4d93-991a-55113fa80a5a,Reserve,$34m,Base,No,$2m,$2m,28.12%,,2.42%,(1.01%),(6.58%),7.53%,7.83%,7.53%,0.00%,7.34%,6.32%,38.76%,71.33%
HYUSD-EUSD,ee23472f-9d68-49c7-8441-6b96928e6352,Beefy,$198m,Base,No,$0m,$0m,570.69%,,9.07%,(15.77%),12.90%,37.41%,50.18%,0.00%,0.00%,44.45%,6.32%,38.76%,71.33%
VAMM-HYUSD-EUSD,426e9a15-3937-470e-9aee-3a25a6dfb838,Yearn Finance,$341m,Base,No,$0m,$0m,7.55%,1011.56%,2.27%,6.31%,23.95%,42.25%,37.52%,42.25%,0.00%,27.29%,6.32%,38.76%,71.33%
USDC-EUSD,1fcd6504-eaa4-4b67-aa74-ae2045ae1dfd,Beefy,$198m,Base,No,$1m,$1m,53.00%,,(4.12%),(2.13%),(4.17%),29.52%,41.50%,0.00%,0.00%,37.70%,6.32%,38.76%,71.33%
USDC-EUSD,d0767f12-2361-4656-b5a3-5d94d003d2dd,Extra Finance,$31m,Base,No,$1m,$0m,52.41%,,0.30%,(2.10%),(21.31%),32.29%,46.50%,32.29%,0.00%,40.10%,6.32%,38.76%,71.33%
EUSD-CRVUSD,68236865-e403-4cba-b66a-c66fbc218056,Beefy,$198m,Base,No,$0m,$0m,(0.11%),,(0.47%),(49.98%),(98.33%),0.33%,8.19%,0.00%,0.00%,10.74%,6.32%,38.76%,71.33%
EUSD-USDBC,c9f80ada-4b5f-44e8-b670-8da359fc95c3,Beefy,$198m,Base,No,$0m,$0m,(78.18%),,0.28%,7.13%,(28.97%),20.70%,37.43%,0.00%,0.00%,33.63%,6.32%,38.76%,71.33%
USDC,69cf831d-624a-4f23-b5e3-c0f63ad1fa01,Moonwell,$56m,Base,No,$2m,$1m,(4.72%),49.91%,(8.87%),47.44%,18.65%,12.72%,8.48%,7.61%,5.11%,8.17%,6.32%,38.76%,71.33%
USDC,df65c4f4-e33a-481c-bac8-0c2252867c93,Compound V3,"$1,422m",Base,No,$2m,$3m,38.83%,18.28%,(12.67%),(1.82%),(19.00%),8.57%,10.04%,4.04%,4.53%,9.20%,6.32%,38.76%,71.33%
USDBC,9d09b0be-f6c2-463a-ad2c-4552b3e12bd9,Stargate,$305m,Base,No,$6m,$8m,3.91%,(23.01%),(4.02%),6.18%,16.44%,10.01%,8.55%,0.00%,10.01%,6.61%,6.32%,38.76%,71.33%
USDBC,cab4b946-d563-442d-80f7-d2268f28fe79,Seamless Protocol,$31m,Base,No,$12m,$22m,(49.88%),,1.91%,(7.69%),45.77%,19.63%,14.37%,0.44%,19.19%,14.58%,6.32%,38.76%,71.33%
USDC+,bc2336d5-b01b-4715-adc4-fd0cc1297b43,Reserve,$34m,Ethereum,No,$1m,$1m,0.19%,3.75%,0.09%,(0.00%),(15.38%),4.73%,4.99%,4.73%,0.00%,4.30%,6.32%,38.76%,71.33%
MAI-EUSD,134aa80e-2eb0-43d1-891e-1bbe578ddaf0,Beefy,$198m,Base,No,$0m,$0m,,,65.12%,(10.97%),,50.96%,62.65%,0.00%,0.00%,65.38%,6.32%,38.76%,71.33%
MAI-EUSD,ef6bfa03-d0b5-42d7-a9d1-cd3194a207bb,Aerodrome,$123m,Base,Yes,$1m,$1m,,,(1.18%),(8.62%),,47.60%,56.65%,0.00%,47.60%,57.38%,6.32%,38.76%,71.33%
HYUSDEUSD-F,f8eff410-1a99-49be-b3e1-23966a94b57b,Yearn Finance,$341m,Ethereum,No,$0m,$0m,0.27%,(45.66%),(0.05%),(57.07%),(41.98%),7.62%,17.61%,7.62%,0.00%,24.90%,6.32%,38.76%,71.33%
#N/A,219a3ece-18a6-43e7-8917-e1124498ebe8,#N/A,#N/A,#N/A,No,#N/A,$2m,,,,,,#N/A,#N/A,#N/A,#N/A,38.10%,6.32%,38.76%,71.33%
EUSD-CRVUSD,0a69ba38-007b-4748-8ff1-13ccae9397c9,Curve DEX,"$2,092m",Ethereum,Yes,$0m,$1m,0.45%,,0.06%,(6.34%),8536.53%,6.02%,3.04%,0.11%,5.91%,2.66%,6.32%,38.76%,71.33%
EUSD-MKUSD,5b7ebb06-8b32-4448-bf84-563f12ad0ab8,Curve DEX,"$2,092m",Ethereum,Yes,$0m,$0m,0.42%,,0.42%,0.29%,,5.93%,3.07%,0.00%,5.93%,2.61%,6.32%,38.76%,71.33%
EUSD-FRAX-USDC,03da5871-6740-407e-986f-29c79fa86a7d,Beefy,$198m,Ethereum,No,$0m,$1m,0.51%,(87.25%),0.23%,(19.85%),2455.38%,11.07%,11.57%,0.00%,0.00%,11.11%,6.32%,38.76%,71.33%
SAMM-EUSD-USDBC,e3937ced-7560-4478-8912-da844bc1b2d1,Yearn Finance,$341m,Base,No,$0m,$0m,2.93%,,0.46%,(2.84%),89.41%,36.30%,30.70%,36.30%,0.00%,23.37%,6.32%,38.76%,71.33%
HYUSD-EUSD,3c76e848-3c17-4bc9-8d41-8c36b27368cd,Curve DEX,"$2,092m",Base,No,$0m,$0m,(1.58%),,0.71%,(100.00%),,0.00%,12.88%,0.00%,0.00%,6.05%,6.32%,38.76%,71.33%
HYUSD+EUSD,2f7ac3f7-9ded-432c-8d9b-1eda7e7ae723,Concentrator,$54m,Ethereum,No,$0m,$0m,(1.17%),,(0.94%),5.03%,26.78%,23.24%,18.64%,0.00%,0.00%,21.26%,6.32%,38.76%,71.33%
EUSD+FRAXBP,0639c1df-5234-49d5-bf6d-f5da4b8bbb66,Concentrator,$54m,Ethereum,No,$0m,$0m,(0.19%),,0.07%,(18.73%),11.37%,13.58%,13.93%,0.00%,0.00%,15.27%,6.32%,38.76%,71.33%
HYUSD-EUSD,19ad968c-aee6-4a02-bcb5-4de512713e17,StakeDAO,$70m,Ethereum,No,$0m,$0m,0.00%,33.28%,0.00%,0.00%,0.00%,31.71%,31.71%,0.06%,31.65%,28.06%,6.32%,38.76%,71.33%
HYUSD-EUSD,1756a554-1a80-4486-bea8-33dc3be2467d,Beefy,$198m,Ethereum,No,$0m,$0m,0.01%,,(0.61%),7.22%,49.98%,21.75%,15.19%,0.00%,0.00%,16.12%,6.32%,38.76%,71.33%
EUSD-CRVUSD,da53450c-14b1-47e3-bca5-7856f27bb928,Curve DEX,"$2,092m",Base,Yes,$0m,$0m,(31.07%),,(0.97%),(97.32%),(99.07%),0.35%,6.52%,0.11%,0.24%,16.61%,6.32%,38.76%,71.33%
